"Number of Establishments  Employing 20 or More Workers by Mode of Learning about ECP and Major Industry Group, Philippines: 2017"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ECP/0021B3E9020.px/table/tableViewLayout1/?rxid=8f93a501-56de-4185-b800-b85adb27d886"
"Mode of Learning about ECP";"Major Industry Group";"2017"
"SSS Website";"..Professional, Scientific and Technical Activities";338
"SSS Website";"..Administrative and Support Service Activities";895
"SSS Website";"..Education Except Public Education";1441
"SSS Website";"..Human Health and Social Work Activities Except Public Health Activities";465
"SSS Website";"..Arts, Entertainment and  Recreation";64
"SSS Website";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";161
"GSIS Website";"ALL INDUSTRIES";587
"GSIS Website";"..Agriculture, Forestry and Fishing";39
"GSIS Website";"..Mining and Quarrying";3
"GSIS Website";"..Manufacturing";66
"GSIS Website";"..Electricity, Gas, Steam and Air Conditioning Supply";12
"GSIS Website";"..Water Supply; Sewerage, Waste Management and Remediation Activities";88
"GSIS Website";"..Construction";11
"GSIS Website";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";115
"GSIS Website";"..Transportation and Storage";18
"GSIS Website";"..Accommodation and Food Service Activities";66
"GSIS Website";"..Information and Communication";2
"GSIS Website";"..Financial and Insurance Activities";45
"GSIS Website";"..Real Estate Activities";15
"GSIS Website";"..Professional, Scientific and Technical Activities";8
"GSIS Website";"..Administrative and Support Service Activities";31
"GSIS Website";"..Education Except Public Education";49
"GSIS Website";"..Human Health and Social Work Activities Except Public Health Activities";11
"GSIS Website";"..Arts, Entertainment and  Recreation";3
"GSIS Website";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";7
"Train wrap on MRT/LRT";"ALL INDUSTRIES";79
"Train wrap on MRT/LRT";"..Agriculture, Forestry and Fishing";5
"Train wrap on MRT/LRT";"..Mining and Quarrying";..
"Train wrap on MRT/LRT";"..Manufacturing";10
"Train wrap on MRT/LRT";"..Electricity, Gas, Steam and Air Conditioning Supply";..
"Train wrap on MRT/LRT";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Train wrap on MRT/LRT";"..Construction";2
