"Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020",,,,
,,,,
PX-Web - Select variable and values,,,,
,,,,
"Parameter;""Geographic Location"";""Sex"";""Age Group"";Population by Age Group", Sex, Region, and Province/Highly Urbanized City: Philippines ,2020
"Household Population;""....City of Cagayan de Oro"";""Both Sexes"";""All Ages"";723671",,,,
"Household Population;""....City of Cagayan de Oro"";""Both Sexes"";""Below 5"";71238",,,,
"Household Population;""....City of Cagayan de Oro"";""Both Sexes"";""5-9"";70684",,,,
"Household Population;""....City of Cagayan de Oro"";""Both Sexes"";""10-14"";67882",,,,
"Household Population;""....City of Cagayan de Oro"";""Both Sexes"";""15-19"";65712",,,,
"Household Population;""....City of Cagayan de Oro"";""Both Sexes"";""20-24"";70707",,,,
"Household Population;""....City of Cagayan de Oro"";""Both Sexes"";""25-29"";67243",,,,
"Household Population;""....City of Cagayan de Oro"";""Both Sexes"";""30-34"";59278",,,,
"Household Population;""....City of Cagayan de Oro"";""Both Sexes"";""35-39"";49642",,,,
"Household Population;""....City of Cagayan de Oro"";""Both Sexes"";""40-44"";44938",,,,
"Household Population;""....City of Cagayan de Oro"";""Both Sexes"";""45-49"";38163",,,,
"Household Population;""....City of Cagayan de Oro"";""Both Sexes"";""50-54"";32929",,,,
"Household Population;""....City of Cagayan de Oro"";""Both Sexes"";""55-59"";27697",,,,
"Household Population;""....City of Cagayan de Oro"";""Both Sexes"";""60-64"";22784",,,,
"Household Population;""....City of Cagayan de Oro"";""Both Sexes"";""65-69"";16219",,,,
"Household Population;""....City of Cagayan de Oro"";""Both Sexes"";""70-74"";9178",,,,
"Household Population;""....City of Cagayan de Oro"";""Both Sexes"";""75-79"";4832",,,,
"Household Population;""....City of Cagayan de Oro"";""Both Sexes"";""80 years old and over"";4545",,,,
"Household Population;""....City of Cagayan de Oro"";""Male"";""All Ages"";364706",,,,
"Household Population;""....City of Cagayan de Oro"";""Male"";""Below 5"";36791",,,,
"Household Population;""....City of Cagayan de Oro"";""Male"";""5-9"";36721",,,,
"Household Population;""....City of Cagayan de Oro"";""Male"";""10-14"";34970",,,,
"Household Population;""....City of Cagayan de Oro"";""Male"";""15-19"";33079",,,,
"Household Population;""....City of Cagayan de Oro"";""Male"";""20-24"";35134",,,,
"Household Population;""....City of Cagayan de Oro"";""Male"";""25-29"";34012",,,,
"Household Population;""....City of Cagayan de Oro"";""Male"";""30-34"";30619",,,,
"Household Population;""....City of Cagayan de Oro"";""Male"";""35-39"";25428",,,,
"Household Population;""....City of Cagayan de Oro"";""Male"";""40-44"";22764",,,,
"Household Population;""....City of Cagayan de Oro"";""Male"";""45-49"";19330",,,,
"Household Population;""....City of Cagayan de Oro"";""Male"";""50-54"";16357",,,,
"Household Population;""....City of Cagayan de Oro"";""Male"";""55-59"";13494",,,,
"Household Population;""....City of Cagayan de Oro"";""Male"";""60-64"";10791",,,,
"Household Population;""....City of Cagayan de Oro"";""Male"";""65-69"";7543",,,,
"Household Population;""....City of Cagayan de Oro"";""Male"";""70-74"";4151",,,,
"Household Population;""....City of Cagayan de Oro"";""Male"";""75-79"";1963",,,,
"Household Population;""....City of Cagayan de Oro"";""Male"";""80 years old and over"";1559",,,,
"Household Population;""....City of Cagayan de Oro"";""Female"";""All Ages"";358965",,,,
"Household Population;""....City of Cagayan de Oro"";""Female"";""Below 5"";34447",,,,
"Household Population;""....City of Cagayan de Oro"";""Female"";""5-9"";33963",,,,
"Household Population;""....City of Cagayan de Oro"";""Female"";""10-14"";32912",,,,
"Household Population;""....City of Cagayan de Oro"";""Female"";""15-19"";32633",,,,
"Household Population;""....City of Cagayan de Oro"";""Female"";""20-24"";35573",,,,
"Household Population;""....City of Cagayan de Oro"";""Female"";""25-29"";33231",,,,
"Household Population;""....City of Cagayan de Oro"";""Female"";""30-34"";28659",,,,
"Household Population;""....City of Cagayan de Oro"";""Female"";""35-39"";24214",,,,
"Household Population;""....City of Cagayan de Oro"";""Female"";""40-44"";22174",,,,
"Household Population;""....City of Cagayan de Oro"";""Female"";""45-49"";18833",,,,
"Household Population;""....City of Cagayan de Oro"";""Female"";""50-54"";16572",,,,
"Household Population;""....City of Cagayan de Oro"";""Female"";""55-59"";14203",,,,
"Household Population;""....City of Cagayan de Oro"";""Female"";""60-64"";11993",,,,
"Household Population;""....City of Cagayan de Oro"";""Female"";""65-69"";8676",,,,
"Household Population;""....City of Cagayan de Oro"";""Female"";""70-74"";5027",,,,
"Household Population;""....City of Cagayan de Oro"";""Female"";""75-79"";2869",,,,
"Household Population;""....City of Cagayan de Oro"";""Female"";""80 years old and over"";2986",,,,
"Household Population;""....City of Iligan"";""Both Sexes"";""All Ages"";362182",,,,
"Household Population;""....City of Iligan"";""Both Sexes"";""Below 5"";38983",,,,
"Household Population;""....City of Iligan"";""Both Sexes"";""5-9"";38466",,,,
"Household Population;""....City of Iligan"";""Both Sexes"";""10-14"";37435",,,,
"Household Population;""....City of Iligan"";""Both Sexes"";""15-19"";36554",,,,
"Household Population;""....City of Iligan"";""Both Sexes"";""20-24"";33911",,,,
"Household Population;""....City of Iligan"";""Both Sexes"";""25-29"";30787",,,,
"Household Population;""....City of Iligan"";""Both Sexes"";""30-34"";25481",,,,
"Household Population;""....City of Iligan"";""Both Sexes"";""35-39"";22147",,,,
"Household Population;""....City of Iligan"";""Both Sexes"";""40-44"";20444",,,,
"Household Population;""....City of Iligan"";""Both Sexes"";""45-49"";18093",,,,
"Household Population;""....City of Iligan"";""Both Sexes"";""50-54"";16209",,,,
"Household Population;""....City of Iligan"";""Both Sexes"";""55-59"";14305",,,,
"Household Population;""....City of Iligan"";""Both Sexes"";""60-64"";11566",,,,
"Household Population;""....City of Iligan"";""Both Sexes"";""65-69"";8087",,,,
"Household Population;""....City of Iligan"";""Both Sexes"";""70-74"";4714",,,,
"Household Population;""....City of Iligan"";""Both Sexes"";""75-79"";2552",,,,
"Household Population;""....City of Iligan"";""Both Sexes"";""80 years old and over"";2448",,,,
"Household Population;""....City of Iligan"";""Male"";""All Ages"";181922",,,,
"Household Population;""....City of Iligan"";""Male"";""Below 5"";20174",,,,
"Household Population;""....City of Iligan"";""Male"";""5-9"";20128",,,,
"Household Population;""....City of Iligan"";""Male"";""10-14"";19411",,,,
"Household Population;""....City of Iligan"";""Male"";""15-19"";18304",,,,
"Household Population;""....City of Iligan"";""Male"";""20-24"";16953",,,,
"Household Population;""....City of Iligan"";""Male"";""25-29"";15464",,,,
"Household Population;""....City of Iligan"";""Male"";""30-34"";13011",,,,
"Household Population;""....City of Iligan"";""Male"";""35-39"";11142",,,,
"Household Population;""....City of Iligan"";""Male"";""40-44"";10174",,,,
"Household Population;""....City of Iligan"";""Male"";""45-49"";8995",,,,
"Household Population;""....City of Iligan"";""Male"";""50-54"";7855",,,,
"Household Population;""....City of Iligan"";""Male"";""55-59"";6944",,,,
"Household Population;""....City of Iligan"";""Male"";""60-64"";5577",,,,
"Household Population;""....City of Iligan"";""Male"";""65-69"";3862",,,,
"Household Population;""....City of Iligan"";""Male"";""70-74"";2077",,,,
"Household Population;""....City of Iligan"";""Male"";""75-79"";1013",,,,
"Household Population;""....City of Iligan"";""Male"";""80 years old and over"";838",,,,
"Household Population;""....City of Iligan"";""Female"";""All Ages"";180260",,,,
"Household Population;""....City of Iligan"";""Female"";""Below 5"";18809",,,,
"Household Population;""....City of Iligan"";""Female"";""5-9"";18338",,,,
"Household Population;""....City of Iligan"";""Female"";""10-14"";18024",,,,
"Household Population;""....City of Iligan"";""Female"";""15-19"";18250",,,,
"Household Population;""....City of Iligan"";""Female"";""20-24"";16958",,,,
"Household Population;""....City of Iligan"";""Female"";""25-29"";15323",,,,
"Household Population;""....City of Iligan"";""Female"";""30-34"";12470",,,,
"Household Population;""....City of Iligan"";""Female"";""35-39"";11005",,,,
"Household Population;""....City of Iligan"";""Female"";""40-44"";10270",,,,
"Household Population;""....City of Iligan"";""Female"";""45-49"";9098",,,,
"Household Population;""....City of Iligan"";""Female"";""50-54"";8354",,,,
"Household Population;""....City of Iligan"";""Female"";""55-59"";7361",,,,
"Household Population;""....City of Iligan"";""Female"";""60-64"";5989",,,,
"Household Population;""....City of Iligan"";""Female"";""65-69"";4225",,,,
"Household Population;""....City of Iligan"";""Female"";""70-74"";2637",,,,
"Household Population;""....City of Iligan"";""Female"";""75-79"";1539",,,,
"Household Population;""....City of Iligan"";""Female"";""80 years old and over"";1610",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Both Sexes"";""All Ages"";5223802",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Both Sexes"";""Below 5"";541966",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Both Sexes"";""5-9"";551361",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Both Sexes"";""10-14"";543958",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Both Sexes"";""15-19"";497777",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Both Sexes"";""20-24"";472920",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Both Sexes"";""25-29"";442420",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Both Sexes"";""30-34"";405656",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Both Sexes"";""35-39"";342357",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Both Sexes"";""40-44"";308114",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Both Sexes"";""45-49"";266089",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Both Sexes"";""50-54"";231429",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Both Sexes"";""55-59"";192933",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Both Sexes"";""60-64"";162164",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Both Sexes"";""65-69"";114505",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Both Sexes"";""70-74"";70747",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Both Sexes"";""75-79"";40265",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Both Sexes"";""80 years old and over"";39141",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Male"";""All Ages"";2678976",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Male"";""Below 5"";279253",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Male"";""5-9"";284764",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Male"";""10-14"";280041",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Male"";""15-19"";253840",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Male"";""20-24"";240275",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Male"";""25-29"";227730",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Male"";""30-34"";212934",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Male"";""35-39"";180454",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Male"";""40-44"";162561",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Male"";""45-49"";138829",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Male"";""50-54"";118512",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Male"";""55-59"";97794",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Male"";""60-64"";80580",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Male"";""65-69"";55408",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Male"";""70-74"";33105",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Male"";""75-79"";17678",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Male"";""80 years old and over"";15218",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Female"";""All Ages"";2544826",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Female"";""Below 5"";262713",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Female"";""5-9"";266597",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Female"";""10-14"";263917",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Female"";""15-19"";243937",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Female"";""20-24"";232645",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Female"";""25-29"";214690",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Female"";""30-34"";192722",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Female"";""35-39"";161903",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Female"";""40-44"";145553",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Female"";""45-49"";127260",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Female"";""50-54"";112917",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Female"";""55-59"";95139",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Female"";""60-64"";81584",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Female"";""65-69"";59097",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Female"";""70-74"";37642",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Female"";""75-79"";22587",,,,
"Household Population;""..REGION XI (DAVAO REGION)"";""Female"";""80 years old and over"";23923",,,,
"Household Population;""....Davao de Oro (Compostela Valley)"";""Both Sexes"";""All Ages"";766299",,,,
"Household Population;""....Davao de Oro (Compostela Valley)"";""Both Sexes"";""Below 5"";78742",,,,
"Household Population;""....Davao de Oro (Compostela Valley)"";""Both Sexes"";""5-9"";84120",,,,
"Household Population;""....Davao de Oro (Compostela Valley)"";""Both Sexes"";""10-14"";83387",,,,
"Household Population;""....Davao de Oro (Compostela Valley)"";""Both Sexes"";""15-19"";78995",,,,
"Household Population;""....Davao de Oro (Compostela Valley)"";""Both Sexes"";""20-24"";65437",,,,
"Household Population;""....Davao de Oro (Compostela Valley)"";""Both Sexes"";""25-29"";62856",,,,
"Household Population;""....Davao de Oro (Compostela Valley)"";""Both Sexes"";""30-34"";57963",,,,
"Household Population;""....Davao de Oro (Compostela Valley)"";""Both Sexes"";""35-39"";47953",,,,
"Household Population;""....Davao de Oro (Compostela Valley)"";""Both Sexes"";""40-44"";42570",,,,
"Household Population;""....Davao de Oro (Compostela Valley)"";""Both Sexes"";""45-49"";38446",,,,
"Household Population;""....Davao de Oro (Compostela Valley)"";""Both Sexes"";""50-54"";35369",,,,
"Household Population;""....Davao de Oro (Compostela Valley)"";""Both Sexes"";""55-59"";28834",,,,
"Household Population;""....Davao de Oro (Compostela Valley)"";""Both Sexes"";""60-64"";23467",,,,
"Household Population;""....Davao de Oro (Compostela Valley)"";""Both Sexes"";""65-69"";16025",,,,
"Household Population;""....Davao de Oro (Compostela Valley)"";""Both Sexes"";""70-74"";9962",,,,
"Household Population;""....Davao de Oro (Compostela Valley)"";""Both Sexes"";""75-79"";6154",,,,
"Household Population;""....Davao de Oro (Compostela Valley)"";""Both Sexes"";""80 years old and over"";6019",,,,
"Household Population;""....Davao de Oro (Compostela Valley)"";""Male"";""All Ages"";400687",,,,
"Household Population;""....Davao de Oro (Compostela Valley)"";""Male"";""Below 5"";40754",,,,
